city,companyFullName,companyLabelList,companySize,education,financeStage,firstType,industryField,jobNature,latitude,longitude,positionAdvantage,positionId,positionLables,positionName,salary_high,salary_low,workYear,Salary
上海,上海倾听信息技术有限公司,"['明星直播', '男女1:1', '带薪年假', '扁平管理']",150-500人,本科,D轮及以上,运营/编辑/客服,移动互联网,全职,31.2181055,121.5312816,与行业大牛共事,3802451,"['运营', '编辑', '产品']",用户增长数据分析实习生,2,3,不限,2500
北京,蓝港在线（北京）科技有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",500-2000人,本科,上市公司,产品/需求/项目类,游戏,全职,40.01206006,116.47493,七险一金 免费三餐 免费班车 专业培训,4061386,"['移动互联网', '游戏', '运营', '大数据']",数据分析总监,25,35,5-10年,30000
上海,中诚信征信有限公司,[],150-500人,硕士,不需要融资,开发/测试/运维类,"移动互联网,金融",全职,0,0,"行业领导者,弹性工作制,周五7小时,扁平化管理",4070433,['Java'],数据分析师（风控建模方向-上海）,15,30,1-3年,22500
上海,上海画龙信息科技有限公司,"['年底四薪', '股票期权', '带薪年假', '五险一金']",15-50人,硕士,A轮,开发/测试/运维类,"数据服务,广告营销",全职,31.187368,121.430795,来自硅谷的大数据团队，期权激励，平台大,4113089,"['大数据', 'SQL', 'R', 'python', '商业']",数据分析师,8,16,1-3年,12000
北京,飞驰镁物（北京）信息服务有限公司,"['智能汽车', '车联网', '股票期权', '黄金团队组合']",150-500人,本科,B轮,开发/测试/运维类,"移动互联网,数据服务",全职,39.89339007,116.51052,五险一金 弹性工作职责 13薪,3466215,"['大数据', '数据挖掘', 'SPSS', 'sas']",数据分析师,13,20,3-5年,16500
上海,南京安贤信息科技有限公司,[],15-50人,本科,A轮,开发/测试/运维类,"移动互联网,信息安全",全职,31.24984,121.395555,"大平台,带人",3912834,"['大数据', '数据挖掘', 'SPSS']",高级数据分析师,22,36,3-5年,29000
北京,北京深极智能科技有限公司,[],少于15人,硕士,天使轮,产品/需求/项目类,其他,全职,39.975023,116.349408,"上升空间,团队融洽,领导nic",2707825,"['游戏', '数据挖掘', 'SPSS']",数据分析师,10,20,1-3年,15000
广州,广州棒谷科技股份有限公司,"['项目奖金', '绩效奖金', '年终奖', '五险一金']",2000人以上,本科,不需要融资,产品/需求/项目类,电子商务,全职,23.175202,113.271506,"奖金丰厚,绩效奖金,发展空间大,年轻团队",3915208,"['大数据', 'BI', '数据管理']",数据分析师,6,8,1-3年,7000
杭州,杭州点望科技有限公司,"['技能培训', '节日礼物', '股票期权', '扁平管理']",150-500人,本科,B轮,开发/测试/运维类,"移动互联网,社交网络",全职,30.266811,120.097412,"B轮机会,年底多薪,免费体检,扁平管理",3822281,[],数据分析,8,15,3-5年,11500
珠海,珠海市小源科技有限公司,"['带薪年假', '岗位晋升', '五险一金', '股票期权']",50-150人,本科,B轮,产品/需求/项目类,移动互联网,全职,22.238006,113.542057,"双休,上班不打卡,不限量零食,年度旅游",4118559,"['电商', '物流', '大数据', '数据开发', '数据管理']",数据分析师,4,6,不限,5000
