city,companyFullName,companyLabelList,companySize,education,financeStage,firstType,industryField,jobNature,latitude,longitude,positionAdvantage,positionId,positionLables,positionName,salary,workYear
北京,腾讯科技(深圳)有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,本科,上市公司,开发/测试/运维类,"移动互联网 ,游戏",全职,39.977178,116.336997,公司平台大，发展前景好,2976180,"['大数据', 'C++', 'hadoop']",数据分析工程师（北京）,16k-32k,3-5年
北京,上海一起作业信息科技有限公司,"['节日礼物', '岗位晋升', '扁平管理', '领导好']",500-2000人,本科,D轮及以上,产品/需求/项目类,"移动互联网,教育",全职,40.000825,116.486624,"完善薪酬,完善福利,办公环境佳,与大牛共事",2940908,"['高级', '业务运营', '大数据', '数据挖掘']",数据分析,10k-20k,1-3年
北京,北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",500-2000人,硕士,C轮,产品/需求/项目类,"移动互联网,数据服务",全职,39.971268,116.332602,弹性工作，免费三餐，租房补贴,4084688,[],高级数据分析师,15k-30k,3-5年
广州,中邮消费金融有限公司,"['专项奖金', '年终分红', '带薪年假', '定期体检']",500-2000人,本科,未融资,开发/测试/运维类,"移动互联网,金融",全职,23.148924,113.327956,"人工智能,大数据,成长空间大,福利好",4077359,"['资深', '中级', '数据挖掘', '建模']",高级BI数据分析开发师,16k-29k,5-10年
北京,北京三快在线科技有限公司,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",2000人以上,本科,D轮及以上,运营/编辑/客服,"移动互联网,O2O",全职,40.007208,116.486654,"免费班车,核心部门,年底双薪",4121651,['电商'],业务运营（数据分析）,10k-20k,3-5年
杭州,北京网思科平科技有限公司,"['带薪年假', '岗位晋升', '五险一金', '绩效奖金']",50-150人,本科,B轮,开发/测试/运维类,"信息安全,数据服务",全职,30.276101,120.12236,"专业培训,公司餐补,关系简单",3637853,"['中级', '算法', '数据挖掘', '机器学习']",数据分析师,14k-21k,1-3年
成都,北京大米未来科技有限公司,"['绩效奖金', '股票期权', '五险一金', '带薪年假']",2000人以上,本科,D轮及以上,运营/编辑/客服,教育,全职,0.0,0.0,"六险一金,餐补房补,平台大,发展空间大",4094571,"['总监', '运营', '大数据', '数据挖掘']",数据分析高级经理,8k-16k,5-10年
厦门,富银金融信息服务（北京）有限公司,"['技能培训', '带薪年假', '节日礼金', '周末双休']",50-150人,本科,不需要融资,产品/需求/项目类,金融,全职,24.488033,118.197111,"项目奖金,员工生日会,部门活动,节日福利",3546133,"['金融', '数据挖掘', 'SPSS', 'sas']",数据分析专员,5k-8k,1-3年
上海,北京国双科技有限公司,"['年度旅游', '节日礼物', '年底双薪', '带薪年假']",500-2000人,本科,上市公司,产品/需求/项目类,"数据服务,企业服务",全职,31.225579,121.449682,上市公司 前景佳 氛围好 牛人多,4018476,"['金融', '媒体', '大数据', '数据挖掘', '策略']",高级数据分析师,10k-20k,5-10年
杭州,杭州微拍堂文化创意有限公司,"['岗位晋升', '年度旅游', '年底双薪', '午餐补助']",150-500人,本科,A轮,开发/测试/运维类,移动互联网,全职,30.2784,120.12658,"14薪,六险一金,双休,弹性工作制",3928652,"['搜索', '算法', '数据挖掘', '推荐', '数据管理']",数据分析工程师,25k-35k,3-5年
